mass,Int
751.4649658,65165.3
751.5147705,52398.4
751.5645752,31426.9
751.6143799,18007.9
751.6642456,13068.6
751.7140503,11347.1
751.763855,10782.9
751.8136597,10607.9
751.8635254,10569.4
751.9133301,10383.1
751.9631348,10014.2
752.0129395,9657.06
752.0628052,9204.75
752.1126099,9294.14
752.1624146,9926.97
752.2122192,11456.2
752.262085,15978.7
752.3118896,25133.9
752.3616943,33591.6
752.411499,41338.9
752.4613647,53501.9
752.5111694,49996.1
752.5609741,33651.2
752.6107788,19072.7
752.6605835,13583.3
752.7104492,11386.3
752.7602539,10637.3
752.8100586,10513.3
752.8598633,10396.4
752.909729,10225.7
752.9595337,10083.5
753.0093384,9840.26
753.0591431,9467.81
753.1090088,9317.16
753.1588135,9740.21
753.2086182,10996.4
753.2584229,14155.1
753.3082886,19407.4
753.3580933,29389
753.4078979,49116.6
753.4577026,67527.8
753.5075684,58047
753.557373,35629.1
753.6071777,21297.4
753.6569824,14602.6
753.7067871,11887.9
753.7566528,11226.8
753.8064575,11126.5
753.8562622,11074.9
753.9060669,10930.9
753.9559326,10574
754.0057373,10179.5
754.055542,9856.3
754.1053467,9679.66
754.1552124,9982.53
754.2050171,10862.3
754.2548218,12471.7
754.3046265,16055.7
754.3544922,25482.7
754.4042969,41536.6
754.4541016,58497
754.5039063,60452.8
754.553772,43663.7
754.6035767,25137.6
754.6533813,16130.1
754.703186,13265.4
754.7529907,11850.4
754.8028564,11212.9
754.8526611,11048.9
754.9024658,10964.1
754.9522705,10462.3
755.0021362,9996.44
755.0519409,9637.32
755.1017456,9525.43
755.1515503,9624.69
755.201416,10167.2
755.2512207,11585.8
755.3010254,15908.9
755.3508301,26800.4
755.4006958,47135.6
755.4505005,65866.8
755.5003052,65376.9
755.5501099,51647.4
755.5999756,29234.2
755.6497803,18536.4
755.699585,14450.5
755.7493896,11989.4
755.7991943,11185.1
755.8490601,10932.9
755.8988647,10719
755.9486694,10557.8
755.9984741,10100.6
756.0483398,9742.59
756.0981445,9495.92
756.1479492,9600.78
756.1977539,10094.8
756.2476196,11612.9
756.2974243,16130.5
756.347229,27341.9
756.3970337,47559.3
756.4468994,71392.9
756.4967041,94364.7
756.5465088,99909.2
756.5963135,64638.9
756.6461792,27845.9
756.6959839,16579.4
756.7457886,13122.6
756.7955933,12312.7
756.8453979,11931.9
756.8952637,11472.5
756.9450684,11023.3
756.994873,10611
757.0446777,10276.7
757.0945435,9841.04
757.1443481,9986.84
757.1941528,11475.6
757.2439575,14861
757.2938232,21828.8
757.3436279,37394.1
757.3934326,60983.3
757.4432373,71880.3
757.493103,83223.3
757.5429077,94479.9
757.5927124,65957.9
757.6425171,28779.4
757.6923828,17072.6
757.7421875,13910.1
757.7919922,13551.2
757.8417969,13936.1
757.8916016,13578.9
757.9414673,12584.4
757.991272,11515.3
758.0410767,10944
758.0908813,10360.2
758.1407471,10228.4
758.1905518,11401.9
758.2403564,13656.3
758.2901611,18474
758.3400269,27003.1
758.3898315,46610.3
758.4396362,88957.2
758.4894409,128484
758.5393066,109934
758.5891113,58550.5
758.638916,26439.4
758.6887207,16688.7
758.7385864,13901.6
758.7883911,13432.2
758.8381958,13981.2
758.8880005,13848.9
758.9378052,12315
758.9876709,11178.2
759.0374756,10336
759.0872803,9750.54
759.137085,9845.86
759.1869507,10562.9
759.2367554,11532.9
759.2865601,13366.2
759.3363647,19895.3
759.3862305,37370.9
759.4360352,70850
759.4858398,101654
759.5356445,90255.9
759.5855103,47117
759.6353149,25344.7
759.6851196,17340.9
759.7349243,13295.2
759.784729,12195.1
759.8345947,12337.3
759.8843994,12222.1
759.9342041,11217.9
759.9840088,10620.8
760.0338745,10160
760.0836792,9986.19
760.1334839,9959.89
760.1832886,10690.9
760.2331543,11959
760.282959,15078.3
760.3327637,24411.9
760.3825684,46351.3
760.4324341,79368.8
760.4822388,98036.6
760.5320435,80167.9
760.5818481,49038.7
760.6317139,23679.8
760.6815186,15147.5
760.7313232,12532
760.7811279,11817.1
760.8309326,11940.6
760.8807983,11849.9
760.930603,11475.3
760.9804077,11043.2
761.0302124,10330.8
761.0800781,9724.2
761.1298828,9617.73
761.1796875,10045.6
761.2294922,11040.6
761.2793579,13729.5
761.3291626,23409.8
761.3789673,39225.8
761.428772,63859.9
761.4786377,87467.9
761.5284424,69926.9
761.5782471,34693.2
761.6280518,18828.3
761.6779175,13888.2
